views,likes,dislikes,comment_count
748374,57527,2966,15954
2418783,97185,6146,12703
3191434,146033,5339,8181
343168,10172,666,2146
2095731,132235,1989,17518
119180,9763,511,1434
2103417,15993,2445,1970
817732,23663,778,3432
826059,3543,119,340
256426,12654,1363,2368
81377,655,25,177
104578,1576,303,1279
687582,114188,1333,8371
544770,7848,1171,3981
207532,7473,246,2120
75752,9419,52,1230
295639,8011,638,1256
78044,5398,53,385
97007,11963,36,2211
223871,8421,191,1214
115791,9586,75,2800
224019,3585,138,208
144418,11758,89,1014
145921,1707,578,673
33980,4884,52,234
223077,8676,193,1392
80705,4687,41,437
120727,9033,224,1346
27943,156,36,83
50867,715,238,246
98378,4035,495,486
26000,119,69,0
17158531,787419,43420,125882
67661,3781,84,626
141148,1661,70,236
98966,2486,184,532
288922,7515,792,2111
13917,1318,24,76
605932,38397,1387,3412
57169,6927,161,565
60506,5389,106,455
34785,308,26,413
945,7,5,8
328330,15186,15448,7484
321053,4451,1772,895
1456472,33505,1660,2160
69844,3417,33,160
956169,2017,2425,1447
4569,35,18,19
2045386,45406,2842,8309
1842393,99086,1339,11800
6473,205,6,15
1044813,15397,838,1100
9548677,190083,15015,11473
197062,7250,217,456
1496225,16116,236,605
162597,5734,106,525
9132,21,8,64
7265,89,8,22
291597,8209,344,1062
290801,10237,377,1016
5304,52,13,68
812516,26917,1979,4998
2642930,115795,3055,6410
105058,493,54,347
537715,8231,413,970
2744430,115426,1110,6541
3358068,120876,8279,6408
4732,203,6,33
7224515,55681,10247,9479
33523622,1634124,21082,85067
52591,2233,187,255
75822,2978,147,243
43715,1550,109,1031
303956,18603,585,1745
238643,2429,5381,2325
237307,1896,74,260
1282413,37669,1732,1691
1497519,15504,353,1084
148226,355,47,178
484185,23296,1184,1858
300617,8133,2693,2911
92523,2323,40,134
7524,67,19,56
103927,3571,278,399
177707,6271,88,275
1751064,16430,945,1231
46746,439,66,55
746092,34839,537,2541
836830,82320,1279,7998
67429,438,23,23
2237404,72593,1830,3501
45455,2282,35,17
2063667,98804,11682,11443
2736733,58967,3492,7915
165698,8599,361,930
836544,40195,373,976
284666,16396,81,949
3371669,202676,3394,20086
195685,14338,171,1070
1098897,43875,1326,4702
893462,22326,833,943
225286,1731,193,206
264793,3283,853,0
5476737,286268,4083,12254
3578502,307435,2573,12248
304926,3305,130,275
247319,10138,153,639
296434,3327,142,377
125962,5048,139,369
419341,53572,168,3083
138988,7999,84,612
1774018,88417,1002,7686
1575525,52829,1524,5864
626688,25115,499,1392
219030,14303,398,1099
493662,7693,181,388
1017803,25122,628,1504
139955,4417,217,457
362009,5505,2356,1264
294387,15247,385,976
844653,11616,313,1518
1315873,9312,584,769
188003,9091,135,2814
1624771,84426,1130,5981
125970,935,507,262
205869,11198,120,446
98422,2926,106,798
426078,19323,245,945
33315,1365,24,91
1231518,32648,6221,9288
154872,7683,164,1734
72626,3652,120,219
366180,4364,4448,1997
264511,11736,532,743
192609,1345,24,126
95944,1354,181,117
154494,2163,147,211
53321,443,131,106
95085,909,52,193
91776,4604,46,357
764716,35765,483,1159
135337,7158,89,318
77630,1991,83,208
378750,5642,146,675
151709,9210,71,1103
175852,15909,200,852
5149,242,0,54
1905487,65854,2442,4490
9632678,810895,16139,59473
476389,16106,950,2077
754558,11985,1356,1757
762616,20159,336,899
199429,10175,66,539
691229,31892,197,1404
6412,49,0,2
108618,4989,58,274
79306,3809,127,670
812007,5894,951,851
55398,1170,22,336
773,2,0,0
581288,5075,725,1780
99619,3959,158,335
4850,22,1,1
226088,10844,302,555
651036,23338,442,1101
451356,3454,284,623
46571,4250,16,408
28539,681,25,45
12609,40,79,17
30021,569,42,44
471266,23634,460,1714
1073134,47793,1886,5358
18573,420,10,236
250193,5748,332,1197
1827,3,0,2
2457408,2707,200,209
51143,258,5,10
27010,1666,36,150
122669,5723,55,263
358597,1211,72,593
56012,6243,106,414
6148,121,3,19
1390440,86207,1775,710
244532,633,174,765
82087,998,93,289
359120,15130,223,1143
33768,426,88,550
38068,2195,28,154
1277364,56867,2148,25326
1498866,67227,1473,4645
280065,20289,38,939
2259,0,0,0
470191,4037,430,1553
16305,147,13,47
169511,57,59,79
160477,8388,691,950
704363,16352,224,841
130778,5684,53,737
560569,29990,341,1788
462490,14132,795,666
295217,4854,1439,1267
1525400,63995,896,4697
1836419,28647,17815,7860
977285,87615,391,5575
390964,3687,1273,1224
1611093,58474,837,3294
983365,60983,578,3837
2765121,35529,1705,2388
3701763,56561,2495,11608
829132,25109,316,3428
391049,5939,106,385
137003,580,262,343
891912,122347,455,7459
175539,17130,264,1747
14565,478,13,67
125645,16754,65,1373
2188590,88099,7150,24225
394709,25188,281,1345
863116,20518,1030,4272
200235,1197,108,627
4632016,131784,9892,18284
122426,6310,298,1624
758998,19138,2272,2873
145100,5198,74,657
2671756,12699,505,1010
52743,4553,33,550
121681,6095,61,731
11404,62,26,20
419965,9805,1337,5457
137749,1145,61,131
772235,15301,1229,3328
297147,10410,110,665
126438,12229,86,1865
2285136,180284,3399,11700
206319,11131,209,553
60564,975,66,106
373457,16433,194,5220
4326684,167696,6730,9265
137860,1950,64,136
4009,61,6,14
3006,75,4,10
635985,20721,2417,4111
130893,8177,220,349
46954,87,18,28
208155,11162,569,954
190669,5162,131,1151
2509626,144816,2262,18893
20778,1440,24,437
30438,143,42,220
94694,136,11,31
211683,2279,545,1838
210393,8996,290,4043
63780,831,12,301
18438,563,16,29
1099318,26813,1047,3827
71661,6310,18,300
935879,5715,514,3442
131153,7129,78,265
84149,276,128,172
34138,4303,29,1399
144937,5246,171,280
306550,16612,160,1311
328325,19970,104,3336
2472569,17959,2863,2690
341074,10915,1915,1313
113963,11576,155,635
21544,83,74,62
93322,398,43,497
68084,2530,88,117
279092,8339,315,2371
692631,9086,1406,4582
